Percentage served,Time in ms
0,564.902
1,564.902
2,564.902
3,564.902
4,564.902
5,594.937
6,594.937
7,594.937
8,594.937
9,594.937
10,594.937
11,594.937
12,594.937
13,594.937
14,594.937
15,641.386
16,641.386
17,641.386
18,641.386
19,641.386
20,641.386
21,641.386
22,641.386
23,641.386
24,641.386
25,653.136
26,653.136
27,653.136
28,653.136
29,653.136
30,653.136
31,653.136
32,653.136
33,653.136
34,653.136
35,728.369
36,728.369
37,728.369
38,728.369
39,728.369
40,728.369
41,728.369
42,728.369
43,728.369
44,728.369
45,737.093
46,737.093
47,737.093
48,737.093
49,737.093
50,737.093
51,737.093
52,737.093
53,737.093
54,737.093
55,737.396
56,737.396
57,737.396
58,737.396
59,737.396
60,737.396
61,737.396
62,737.396
63,737.396
64,737.396
65,765.922
66,765.922
67,765.922
68,765.922
69,765.922
70,765.922
71,765.922
72,765.922
73,765.922
74,765.922
75,890.536
76,890.536
77,890.536
78,890.536
79,890.536
80,890.536
81,890.536
82,890.536
83,890.536
84,890.536
85,1030.749
86,1030.749
87,1030.749
88,1030.749
89,1030.749
90,1030.749
91,1030.749
92,1030.749
93,1030.749
94,1030.749
95,94631419255.248
96,94631419255.248
97,94631419255.248
98,94631419255.248
99,94631419255.248
100,1030.749
